"state_fips","county_fips","n_storms","total_intensity"
"21","229",63,2443
"21","231",128,4999
"21","233",62,2048
"21","235",160,6774
"21","237",130,4997
"21","239",72,2827
"22","000",41,1155
"22","001",111,1757
"22","003",123,2115
"22","005",68,1582
"22","007",38,610
"22","009",127,2683
"22","011",176,3070
"22","013",182,6376
"22","015",333,12704
"22","017",503,18007
"22","019",363,8609
"22","021",89,2966
"22","023",119,2583
"22","025",121,3689
"22","027",167,6003
"22","029",121,3402
"22","030",1,0
"22","031",207,6948
"22","033",189,3520
"22","035",119,2643
"22","037",71,1156
"22","039",93,2129
"22","041",188,5873
"22","043",121,4402
"22","045",78,1454
"22","047",74,1030
"22","049",127,4256
"22","051",142,4775
"22","053",125,2319
"22","055",102,2577
"22","057",101,1750
"22","059",88,2770
"22","061",163,6011
"22","063",147,3001
"22","065",126,3172
"22","067",180,4558
"22","069",203,6359
"22","071",140,5065
"22","073",256,9740
"22","075",71,2263
"22","077",109,2030
"22","079",257,6419
"22","081",117,3504
"22","083",149,4317
"22","085",152,5049
"22","087",37,388
"22","089",91,2401
"22","091",53,678
"22","093",35,800
"22","095",41,1115
"22","097",152,3324
"22","099",58,762
"22","101",70,1513
"22","103",241,5849
"22","105",191,2954
"22","107",130,3697
"22","109",103,2220
"22","111",195,7475
"22","113",83,1564
"22","115",140,2912
"22","117",145,2934
"22","119",228,7542
"22","121",45,836
"22","123",124,3268
"22","125",54,1033
"22","127",158,5117
"23","000",6,86
"23","001",81,2926
"23","003",397,19941
"23","005",178,6750
"23","007",97,4178
"23","009",40,1817
"23","011",109,4255
"23","013",26,1110
"23","015",51,2064
"23","017",180,7279
"23","019",211,9360
"23","021",135,6111
"23","023",37,1575
"23","025",192,8203
"23","027",44,1854
"23","029",56,2389
"23","031",179,6441
"24","000",21,547
"24","001",130,4872
"24","003",322,11189
"24","005",304,12043
"24","009",167,5692
"24","011",79,3299
"24","013",223,7055
"24","015",147,6099
"24","017",249,9002
"24","019",79,2270
"24","021",319,10925
"24","023",87,2403
"24","025",229,9060
"24","027",163,5670
"24","029",109,4339
"24","031",403,15399
"24","033",330,12607
"24","035",114,5032
"24","037",180,7504
"24","039",51,1756
"24","041",97,3704
"24","043",229,8154
"24","045",98,3477
"24","047",65,2288
"24","510",117,3518
"25","000",12,102
"25","001",34,1580
"25","003",354,11433
"25","005",81,3439
"25","007",14,614
"25","009",218,9357
"25","011",232,10255
"25","013",311,12780
"25","015",199,8669
"25","017",304,13291
"25","019",3,173
"25","021",120,5169
"25","023",102,4504
"25","025",65,2581
"25","027",336,13787
"26","000",37,829
"26","001",58,2571
"26","003",41,1984
"26","005",197,6213
"26","007",80,2146
"26","009",60,2616
"26","011",38,1332
"26","012",1,0
"26","013",46,2212
"26","015",129,3571
"26","017",118,4801
"26","019",27,1114
"26","021",236,7595
"26","023",186,6416
"26","025",246,8405
"26","027",164,4943
"26","029",33,1601
"26","031",48,1435
"26","033",36,1731
"26","035",56,1605
"26","037",152,5947
"26","039",48,1524
"26","041",82,3783
"26","043",68,3274
"26","045",106,4013
"26","047",43,1755
"26","049",376,17090
"26","051",54,1626
"26","053",82,3974
"26","055",61,2430
"26","057",83,2526
"26","059",178,5220
"26","061",81,3880
"26","063",125,5605
"26","065",154,4988
"26","067",114,3019
"26","069",56,1849
"26","071",58,2961
"26","073",82,2867
"26","075",182,6150
"26","077",173,5078
"26","079",33,1546
"26","081",214,7451
"26","083",18,1005
"26","085",33,1127
"26","087",190,8439
"26","089",30,1293
"26","091",256,10954
"26","093",226,10700
"26","095",36,1630
"26","097",31,1147
"26","099",333,15798
"26","101",54,2207
"26","103",129,6128
"26","105",58,2220
"26","107",57,1857
"26","109",72,3405
"26","111",102,4237
"26","113",29,1071
"26","115",216,8989
"26","117",121,3172
"26","119",50,2029
"26","121",125,4508
"26","123",77,2444
"26","125",541,24441
"26","127",51,1551
"26","129",73,2580
"26","131",47,2265
"26","133",39,1249
"26","135",40,1197
"26","137",52,1938
"26","139",153,5090
"26","141",45,1236
"26","143",82,3028
"26","145",220,9822
"26","147",195,9093
"26","149",166,4769
"26","151",109,4504
"26","153",32,1705
"26","155",153,6559
"26","157",159,6778
"26","159",139,4202
"26","161",398,17995
"26","163",420,19363
"26","165",50,2071
"27","000",35,1258
"27","001",87,3295
"27","003",162,7234
"27","005",97,3064
"27","007",130,4229
"27","009",52,2471
"27","011",63,3417
"27","013",122,5163
"27","015",88,3494
"27","017",57,2105
"27","019",143,6615
"27","021",137,5421
"27","023",65,2609
"27","025",69,2821
"27","027",107,2759
"27","029",51,1367
"27","031",11,495
"27","033",72,2953
"27","035",144,6889
"27","037",191,9138
"27","039",76,2839
"27","041",121,5740
"27","043",93,3409
"27","045",115,5248
"27","047",124,5053
"27","049",117,5231
"27","051",71,2666
"27","053",341,14847
"27","055",73,3137
"27","057",74,2820
"27","059",72,3545
"27","061",175,7045
"27","063",84,4077
"27","065",59,2592
"27","067",130,5082
"27","069",101,4653
"27","071",81,2846
"27","073",75,3556
"27","075",41,1754
"27","077",53,1500
"27","079",67,2778
"27","081",61,2650
"27","083",82,3603
"27","085",183,9030
"27","087",44,1530
"27","089",99,3254
"27","091",111,4415
"27","093",110,4045
"27","095",92,3796
"27","097",102,4425
"27","099",125,5180
"27","101",48,2363
"27","103",80,3514
"27","105",106,4950
"27","107",94,3175
"27","109",223,11059
"27","111",242,9394
"27","113",46,1728
"27","115",94,3824
"27","117",58,1998
"27","119",172,5589
"27","121",76,3392
"27","123",125,5561
"27","125",46,1361
"27","127",131,5492
"27","129",124,4547
"27","131",103,4452
"27","133",78,2996
"27","135",100,4012
"27","137",321,12894
"27","139",126,6050
"27","141",104,4348
"27","143",98,3722
"27","145",209,8281
"27","147",66,2630
"27","149",58,2553
"27","151",71,3186
"27","153",65,2659
"27","155",39,1800
"27","157",99,4303
"27","159",77,3129
"27","161",86,3641
"27","163",129,5619
"27","165",52,2204
"27","167",82,3973
"27","169",117,5286
"27","171",192,8593
"27","173",64,2693
"28","000",26,241
"28","001",161,5549
"28","003",106,2427
"28","005",79,1100
"28","007",141,4124
"28","009",34,856
"28","011",199,5628
"28","013",98,2766
"28","015",141,4842
"28","017",112,2744
"28","019",73,2444
"28","021",125,3777
"28","023",204,5763
"28","025",107,3345
