"","state_fips","county_fips","county.name","Dollars","Rank.in.State","Percent.Change","Rank.in.State.1"
"370",12,125,"Union","17,811","67",0.6,"65"
"371",12,127,"Volusia","36,052","30",3.7,"22"
"372",12,129,"Wakulla","29,568","44",3.4,"32"
"373",12,131,"Walton","45,764","10",2,"62"
"374",12,133,"Washington","25,727","58",4.4,"10"
"377",13,1,"Appling","29,115","105",-0.2,"139"
"378",13,3,"Atkinson","26,384","133",2.4,"108"
"379",13,5,"Bacon","29,225","101",3.5,"83"
"380",13,7,"Baker","29,192","103",-21.2,"159"
"381",13,9,"Baldwin","28,857","109",5,"16"
"382",13,11,"Banks","32,904","44",5.1,"15"
"383",13,13,"Barrow","31,181","73",4.1,"52"
"384",13,15,"Bartow","33,483","37",4.3,"37"
"385",13,17,"Ben Hill","27,647","125",3.8,"64"
"386",13,19,"Berrien","27,855","121",-0.2,"141"
"387",13,21,"Bibb","37,199","22",3.8,"69"
"388",13,23,"Bleckley","31,785","64",1,"132"
"389",13,25,"Brantley","23,153","153",2.4,"109"
"390",13,27,"Brooks","31,408","72",-1.1,"144"
"391",13,29,"Bryan","45,657","6",1.9,"120"
"392",13,31,"Bulloch","28,062","117",0.7,"135"
"393",13,33,"Burke","30,433","83",1,"133"
"394",13,35,"Butts","29,046","106",4.3,"40"
"395",13,37,"Calhoun","25,182","145",-0.1,"138"
"396",13,39,"Camden","31,725","65",3.3,"93"
"397",13,43,"Candler","27,750","123",3.8,"73"
"398",13,45,"Carroll","32,508","51",3,"99"
"399",13,47,"Catoosa","31,531","69",4.2,"43"
"400",13,49,"Charlton","23,746","151",5.7,"8"
"401",13,51,"Chatham","40,872","13",1.9,"119"
"402",13,53,"Chattahoochee","32,020","58",4.6,"23"
"403",13,55,"Chattooga","27,704","124",4.8,"17"
"404",13,57,"Cherokee","41,322","12",4,"56"
"405",13,59,"Clarke","28,803","110",4.6,"21"
"406",13,61,"Clay","27,998","120",-5,"156"
"407",13,63,"Clayton","26,232","135",4,"55"
"408",13,65,"Clinch","27,798","122",3.7,"74"
"409",13,67,"Cobb","49,513","4",3.9,"59"
"410",13,69,"Coffee","28,016","118",2.3,"111"
"411",13,71,"Colquitt","28,971","107",1.4,"126"
"412",13,73,"Columbia","42,916","10",2.9,"103"
"413",13,75,"Cook","25,986","138",-1.6,"147"
"414",13,77,"Coweta","39,169","16",3.8,"68"
"415",13,79,"Crawford","32,550","49",4.4,"35"
"416",13,81,"Crisp","26,351","134",3.7,"76"
"417",13,83,"Dade","28,643","112",4.6,"20"
"418",13,85,"Dawson","36,801","24",4.1,"49"
"419",13,87,"Decatur","33,052","40",-1.7,"148"
"420",13,89,"DeKalb","44,261","9",4,"54"
"421",13,91,"Dodge","26,643","130",3.4,"87"
"422",13,93,"Dooly","20,853","157",-4.1,"154"
"423",13,95,"Dougherty","31,889","59",3.3,"91"
"424",13,97,"Douglas","31,791","63",4.1,"50"
"425",13,99,"Early","34,862","29",-4.4,"155"
"426",13,101,"Echols","24,828","147",2.2,"115"
"427",13,103,"Effingham","36,108","25",1.9,"117"
"428",13,105,"Elbert","31,716","66",4.3,"39"
"429",13,107,"Emanuel","27,430","126",1,"134"
"430",13,109,"Evans","29,906","93",3.5,"80"
