"state_fips","county_fips","n_storms","total_intensity"
"21","155",6,5
"21","157",12,12
"21","161",5,10
"21","163",7,5
"21","165",6,4
"21","167",12,14
"21","169",10,12
"21","171",7,9
"21","173",3,5
"21","175",4,6
"21","177",16,24
"21","179",7,8
"21","181",1,1
"21","183",5,9
"21","185",6,7
"21","187",4,4
"21","189",2,2
"21","191",5,9
"21","193",2,3
"21","195",2,1
"21","197",6,4
"21","199",18,17
"21","203",5,3
"21","205",2,3
"21","207",7,13
"21","209",11,15
"21","211",14,16
"21","213",12,18
"21","215",5,2
"21","217",7,6
"21","219",10,7
"21","221",14,14
"21","223",9,11
"21","225",17,22
"21","227",20,21
"21","229",7,6
"21","231",6,18
"21","233",12,16
"21","235",3,5
"21","237",3,4
"21","239",4,3
"22","001",70,58
"22","003",17,8
"22","005",13,16
"22","007",16,16
"22","009",34,33
"22","011",37,37
"22","013",28,26
"22","015",34,41
"22","017",70,78
"22","019",82,66
"22","021",14,18
"22","023",54,31
"22","025",27,29
"22","027",19,25
"22","029",28,28
"22","031",41,61
"22","033",35,39
"22","035",19,22
"22","037",10,9
"22","039",28,25
"22","041",21,28
"22","043",15,12
"22","045",24,17
"22","047",15,15
"22","049",28,29
"22","051",51,39
"22","053",41,34
"22","055",38,35
"22","057",33,29
"22","059",13,13
"22","061",20,21
"22","063",27,23
"22","065",42,57
"22","067",30,28
"22","069",39,30
"22","071",13,11
"22","073",32,28
"22","075",28,20
"22","077",15,17
"22","079",47,49
"22","081",14,12
"22","083",20,22
"22","085",27,33
"22","087",9,7
"22","089",15,11
"22","091",11,15
"22","093",4,0
"22","095",15,14
"22","097",46,40
"22","099",15,15
"22","101",20,20
"22","103",43,33
"22","105",47,40
"22","107",21,24
"22","109",32,24
"22","111",34,32
"22","113",56,44
"22","115",41,37
"22","117",30,27
"22","119",40,39
"22","121",9,10
"22","123",20,28
"22","125",7,9
"22","127",21,27
"23","001",4,5
"23","003",27,20
"23","005",8,4
"23","007",4,4
"23","009",1,1
"23","011",11,13
"23","013",1,1
"23","015",2,2
"23","017",14,12
"23","019",12,14
"23","021",5,3
"23","023",2,1
"23","025",13,14
"23","027",3,4
"23","029",5,3
"23","031",14,13
"24","001",8,4
"24","003",21,16
"24","005",22,15
"24","009",13,7
"24","011",6,4
"24","013",16,10
"24","015",15,16
"24","017",28,21
"24","019",11,7
"24","021",33,31
"24","023",10,17
"24","025",25,12
"24","027",11,6
"24","029",5,4
"24","031",22,14
"24","033",25,18
"24","035",11,8
"24","037",27,10
"24","039",5,2
"24","041",4,3
"24","043",13,9
"24","045",8,4
"24","047",11,7
"24","510",2,1
"25","001",2,2
"25","003",18,27
"25","005",7,5
"25","007",1,2
"25","009",12,12
"25","011",24,23
"25","013",18,18
"25","015",8,12
"25","017",16,20
"25","021",9,5
"25","023",9,5
"25","025",1,2
"25","027",37,50
"26","001",8,10
"26","003",6,3
"26","005",25,27
"26","007",13,9
"26","009",8,8
"26","011",6,8
"26","013",2,2
"26","015",15,17
"26","017",13,12
"26","019",3,3
"26","021",31,34
"26","023",16,24
"26","025",13,13
"26","027",11,12
"26","029",3,2
"26","031",6,2
"26","033",6,3
"26","035",7,2
"26","037",17,24
"26","039",10,9
"26","041",10,8
"26","043",8,6
"26","045",23,24
"26","047",5,3
"26","049",40,52
"26","051",9,11
"26","053",3,2
"26","055",3,7
"26","057",13,17
"26","059",21,25
"26","063",12,7
"26","065",22,21
"26","067",18,12
"26","069",10,8
"26","071",7,4
"26","073",12,9
"26","075",15,17
"26","077",25,25
"26","079",7,7
"26","081",25,24
"26","083",2,0
"26","085",2,2
"26","087",16,14
"26","089",3,2
"26","091",27,22
"26","093",22,34
"26","095",3,1
"26","097",3,3
