"state_fips","county_fips","STNAME","CTYNAME","YEAR","TOT_POP","WA","BA","IA","AA","Na","NH","H"
12,1,"Florida","Alachua County",3,247680,176494,50793,846,13651,193,226821,20859
12,3,"Florida","Baker County",3,27072,22784,3678,80,148,5,26548,524
12,5,"Florida","Bay County",3,169294,141160,18506,1228,3467,184,161084,8210
12,7,"Florida","Bradford County",3,28544,21960,5905,104,160,15,27500,1044
12,9,"Florida","Brevard County",3,544029,460334,56340,2411,11828,664,499709,44320
12,11,"Florida","Broward County",3,1753576,1170619,482369,6140,60088,1628,1311157,442419
12,13,"Florida","Calhoun County",3,14635,12032,2008,173,84,18,13869,766
12,15,"Florida","Charlotte County",3,159927,145900,9277,459,2010,75,150652,9275
12,17,"Florida","Citrus County",3,141283,132629,4091,513,2083,44,134613,6670
12,19,"Florida","Clay County",3,191423,159901,19567,978,5790,255,176619,14804
12,21,"Florida","Collier County",3,322710,291775,21899,1591,3815,314,239004,83706
12,23,"Florida","Columbia County",3,67606,53473,11957,366,638,47,64316,3290
12,27,"Florida","DeSoto County",3,34916,29323,4595,374,220,60,24470,10446
12,29,"Florida","Dixie County",3,16409,14674,1396,69,58,2,15893,516
12,31,"Florida","Duval County",3,865842,543828,259070,3836,37089,972,799868,65974
12,33,"Florida","Escambia County",3,298110,208937,68987,2721,8397,480,283897,14213
12,35,"Florida","Flagler County",3,96053,80569,11287,297,2129,69,87728,8325
12,37,"Florida","Franklin County",3,11538,9662,1586,73,31,8,11007,531
12,39,"Florida","Gadsden County",3,47814,19950,26840,225,258,52,43272,4542
12,41,"Florida","Gilchrist County",3,16987,15713,912,96,57,12,16143,844
12,43,"Florida","Glades County",3,12939,10444,1643,677,63,2,10212,2727
12,45,"Florida","Gulf County",3,15817,12494,2941,67,48,4,15146,671
12,47,"Florida","Hamilton County",3,14672,9208,5060,119,81,1,13373,1299
12,49,"Florida","Hardee County",3,27767,24764,2038,314,317,15,15834,11933
12,51,"Florida","Hendry County",3,39044,31915,5463,880,341,55,19797,19247
12,53,"Florida","Hernando County",3,172947,158238,9216,684,1966,116,155066,17881
12,55,"Florida","Highlands County",3,98703,85498,9619,537,1538,74,81517,17186
12,57,"Florida","Hillsborough County",3,1234145,940711,213581,6072,44182,1476,925177,308968
