"state_county_fips","POVALL_2014","PCTPOVALL_2014"
21081,"4,103",16.9
21083,"6,550",17.7
21085,"5,488",21.7
21087,"2,339",21.5
21089,"5,846",16.4
21091,"1,193",13.8
21093,"14,905",14.3
21095,"9,436",34.2
21097,"3,386",18.5
21099,"4,200",23
21101,"8,227",18.1
21103,"2,814",18.3
21105,"828",18.4
21107,"7,594",16.9
21109,"3,514",26.8
21111,"124,850",16.8
21113,"7,190",14.7
21115,"5,817",25.6
21117,"24,923",15.5
21119,"5,113",33.7
21121,"10,824",34.9
21123,"2,486",18
21125,"14,610",24.7
21127,"4,041",25.9
21129,"2,292",35
21131,"3,514",33
21133,"6,949",30.1
21135,"4,707",34.4
21137,"6,650",27.6
21139,"1,299",14.1
21141,"4,486",16.9
21143,"1,108",15.4
21145,"11,214",17.5
21147,"7,525",47
21149,"1,580",16.9
21151,"15,947",19.7
21153,"3,850",30.2
21155,"4,065",21.8
21157,"3,977",13.1
21159,"4,401",40.6
21161,"3,115",18.6
21163,"3,616",12.6
21165,"1,668",27.1
21167,"3,720",17.6
21169,"2,484",25.2
21171,"2,748",26.2
21173,"5,620",20.8
21175,"3,489",30.4
21177,"6,368",21.6
21179,"5,618",12.7
21181,"1,342",19.4
21183,"4,633",19.7
21185,"3,211",5.5
21187,"1,848",17.4
21189,"1,984",45.1
21191,"2,229",15.6
21193,"7,401",27.5
21195,"16,796",27.4
21197,"3,247",26.7
21199,"16,338",26
21201,"492",23
21203,"3,956",24.1
21205,"4,953",23.4
21207,"4,608",26.3
21209,"5,406",10.9
21211,"5,548",12.8
21213,"2,610",15
21215,"1,545",8.8
21217,"6,333",26.7
21219,"2,368",19.3
21221,"2,218",15.8
21223,"1,408",16.2
21225,"2,832",18.9
21227,"20,900",18.3
21229,"2,284",19.7
21231,"5,252",26.2
21233,"2,220",17.3
21235,"10,097",29.8
21237,"2,558",36.2
21239,"2,812",11.2
22000,"898,902",19.9
22001,"13,527",22
22003,"4,832",22.5
22005,"15,873",13.7
22007,"4,067",17.8
22009,"9,639",25.5
22011,"6,559",18.9
22013,"3,704",27.4
22015,"17,520",14.3
22017,"59,514",24.1
22019,"35,591",18.4
22021,"2,168",23.3
22023,"809",12.2
22025,"2,158",23.3
22027,"3,789",28.2
22029,"5,855",30.9
22031,"6,298",23.5
22033,"80,273",18.4
22035,"2,751",43
22037,"3,543",20.4
22039,"7,757",24.1
22041,"5,718",29
22043,"4,417",22.8
22045,"14,132",19.4
22047,"5,867",19.9
22049,"3,679",24.6
22051,"68,333",15.8
22053,"6,700",21.7
22055,"34,809",15.1
22057,"16,903",17.6
22059,"2,447",18
22061,"12,699",29.7
22063,"16,499",12.3
22065,"4,250",41.4
22067,"7,608",29.4
22069,"11,500",31.1
22071,"103,855",27.9
22073,"35,619",23.6
22075,"3,715",16
22077,"4,072",18.3
22079,"25,480",19.8
22081,"2,140",25.3
22083,"4,932",24.9
22085,"5,022",21.2
22087,"7,869",17.9
22089,"6,272",12.1
22091,"2,515",24
22093,"3,450",16.1
22095,"8,995",20.8
22097,"24,857",30.1
22099,"9,460",18
22101,"11,395",21.8
22103,"27,292",11.2
22105,"27,726",22.5
22107,"1,538",32
22109,"23,321",20.9
22111,"4,835",22
22113,"10,775",18.3
22115,"6,911",13.9
22117,"12,979",29.1
22119,"8,681",22.2
22121,"5,012",20.5
22123,"2,492",22.5
